Table 1.10 Civilians Ages Under 5 Years Living in the Community for the United States and States, by Disability Status: 2021
State,Total,"Disability: Count","Disability: % [1]","No Disability: Count","No Disability: % [2]"
GA,1558733,532212,34.1,1026521,65.9
HI,278654,88318,31.7,190336,68.3
ID,310898,110698,35.6,200200,64.4
IL,2047584,639279,31.2,1408305,68.8
IN,1084410,365771,33.7,718639,66.3
IA,548303,165428,30.2,382875,69.8
KS,471950,152553,32.3,319397,67.7
KY,750076,295880,39.4,454196,60.6
LA,750335,283422,37.8,466913,62.2
ME,290913,87448,30.1,203465,69.9
MD,982784,281099,28.6,701685,71.4
MA,1183676,355778,30.1,827898,69.9
MI,1789023,574341,32.1,1214682,67.9
MN,937168,272385,29.1,664783,70.9
MS,486107,194987,40.1,291120,59.9
MO,1052399,364243,34.6,688156,65.4
MT,213110,72028,33.8,141082,66.2
NE,313624,97221,31.0,216403,69.0
NV,514627,171479,33.3,343148,66.7
NH,260114,68373,26.3,191741,73.7
NJ,1528005,450519,29.5,1077486,70.5
NM,386042,141497,36.7,244545,63.3
NY,3385616,1052081,31.1,2333535,68.9
NC,1765560,585152,33.1,1180408,66.9
ND,118388,36737,31.0,81651,69.0
OH,2042055,670750,32.8,1371305,67.2
OK,630816,260662,41.3,370154,58.7
OR,780173,254265,32.6,525908,67.4
PA,2391105,745969,31.2,1645136,68.8
RI,192634,57788,30.0,134846,70.0
SC,951932,307193,32.3,644739,67.7
SD,151042,49442,32.7,101600,67.3
TN,1164189,414972,35.6,749217,64.4
TX,3831538,1344250,35.1,2487288,64.9
UT,383877,113605,29.6,270272,70.4
VT,129730,36838,28.4,92892,71.6
VA,1383071,423312,30.6,959759,69.4
WA,1233415,406446,33.0,826969,67.0
WV,362653,136900,37.7,225753,62.3
WI,1032131,277536,26.9,754595,73.1
WY,102197,33601,32.9,68596,67.1

Table 1.14 Civilians Ages Under 5 Years Living in the Community for the United States and States - Hearing Disability: 2021
State,Total,Disability,"Hearing: Count","Hearing: Total (%) [1]","Hearing: Disability (%) [2]"
US,18581718,126829,85896,0.5,67.7
AL,288139,1720,708,0.2,41.2
AK,42080,54,54,0.1,*
AZ,402303,5043,3630,0.9,72.0
AR,178462,3725,2237,1.3,60.1
CA,2205235,12908,11071,0.5,85.8
CO,303354,1822,1241,0.4,68.1
CT,175998,649,370,0.2,57.0
DE,52332,296,*,*,*
DC,40613,175,175,0.4,*
FL,1089663,5747,3598,0.3,62.6
GA,623917,4348,3043,0.5,70.0
HI,81278,380,380,0.5,*
ID,113002,722,666,0.6,92.2
IL,699597,3516,2677,0.4,76.1
IN,405012,1269,762,0.2,60.0
IA,186397,2195,1786,1.0,81.4
KS,176876,1257,500,0.3,39.8
KY,260130,2619,1635,0.6,62.4
LA,281838,1160,720,0.3,62.1
ME,60080,45,45,0.1,*
MD,348364,1862,1096,0.3,58.9
MA,347915,2455,1241,0.4,50.5
MI,547056,3914,2787,0.5,71.2
MN,327515,2308,1877,0.6,81.3
MS,173503,816,542,0.3,66.4
MO,349339,3446,1767,0.5,51.3
MT,56147,87,87,0.2,*
NE,121543,1091,757,0.6,69.4
NV,175881,2344,1708,1.0,72.9
NH,61559,629,381,0.6,60.6
NJ,513212,2256,1732,0.3,76.8
NM,114698,911,829,0.7,91.0
NY,1088610,7491,5329,0.5,71.1
NC,578083,5688,3359,0.6,59.1
ND,50589,705,160,0.3,22.7
OH,668327,3573,2594,0.4,72.6
OK,236766,2347,1767,0.7,75.3
OR,205686,659,148,0.1,22.5
PA,681227,2785,2151,0.3,77.2
RI,53287,487,175,0.3,35.9
SC,274864,3082,2039,0.7,66.2
SD,55917,675,109,0.2,16.1
TN,395654,2821,1952,0.5,69.2
TX,1885672,13637,10350,0.5,75.9
UT,233401,2736,251,0.1,9.2
VT,27009,198,74,0.3,37.4
VA,478808,2658,1264,0.3,47.6
WA,430818,2126,1384,0.3,65.1
WV,88479,671,605,0.7,90.2
WI,314453,1796,1365,0.4,76.0
WY,31030,925,718,2.3,77.6

Table 1.15 Civilians Ages 5 to 17 Years Living in the Community for the United States and States - Hearing Disability: 2021
State,Total,Disability,"Hearing: Count","Hearing: Total (%) [1]","Hearing: Disability (%) [2]"
US,54699705,3286897,311865,0.6,9.5
AL,828863,48618,5176,0.6,10.6
AK,137454,9277,302,0.2,3.3
AZ,1209334,79148,9964,0.8,12.6
AR,523043,44085,4449,0.9,10.1
CA,6542461,320951,36026,0.6,11.2
CO,936515,45160,5558,0.6,12.3
CT,548906,32433,2971,0.5,9.2
DE,156006,11644,1911,1.2,16.4
DC,84945,4219,718,0.8,17.0
FL,3189500,196340,16754,0.5,8.5
GA,1895765,117778,11190,0.6,9.5
HI,223072,8810,928,0.4,10.5
ID,354395,21732,2896,0.8,13.3
IL,2093224,110256,11005,0.5,10.0
IN,1178604,76293,10225,0.9,13.4
IA,545142,28842,2117,0.4,7.3
KS,522424,30653,4811,0.9,15.7
KY,750106,59673,4408,0.6,7.4
LA,795160,57112,4551,0.6,8.0
ME,186869,11830,1238,0.7,10.5
MD,1010506,56937,5311,0.5,9.3
MA,1011759,59794,3586,0.4,6.0
MI,1595775,98493,5253,0.3,5.3
MN,975835,58515,4919,0.5,8.4
MS,515882,43526,2641,0.5,6.1
MO,1027688,60381,6427,0.6,10.6
MT,177584,11187,1426,0.8,12.7
NE,358512,23577,3273,0.9,13.9
NV,520481,24749,2343,0.5,9.5
NH,194641,10830,944,0.5,8.7
NJ,1503125,67703,3306,0.2,4.9
NM,356854,22061,2434,0.7,11.0
NY,3004480,162754,11034,0.4,6.8
NC,1718757,101580,8329,0.5,8.2
ND,130287,7971,1549,1.2,19.4
OH,1928771,140458,9326,0.5,6.6
OK,717529,57017,6296,0.9,11.0
OR,649930,45033,3493,0.5,7.8
PA,1984207,152828,13219,0.7,8.6
RI,154906,12795,1032,0.7,8.1
SC,837548,49407,5602,0.7,11.3
SD,161911,6670,1029,0.6,15.4
TN,1136830,75925,7644,0.7,10.1
TX,5561641,347998,32246,0.6,9.3
UT,708045,34221,4285,0.6,12.5
VT,89553,4868,1432,1.6,29.4
VA,1399025,88649,8299,0.6,9.4
WA,1240960,72468,7467,0.6,10.3
WV,270235,19861,2425,0.9,12.2
WI,955174,48950,6756,0.7,13.8
WY,99486,4837,1341,1.3,27.7

Table 1.16 Civilians Ages 18 to 64 Years Living in the Community for the United States and States - Hearing Disability: 2021
State,Total,Disability,"Hearing: Count","Hearing: Total (%) [1]","Hearing: Disability (%) [2]"
US,198902405,21375164,3986839,2.0,18.7
AL,2974375,427044,77652,2.6,18.2
AK,428284,57446,16161,3.8,28.1
AZ,4239636,462266,92617,2.2,20.0
AR,1762321,270410,47909,2.7,17.7
CA,24101833,2094680,365481,1.5,17.4
CO,3608395,334153,77248,2.1,23.1
CT,2202103,210733,38726,1.8,18.4
DE,583878,63108,11573,2.0,18.3
DC,450531,45567,6590,1.5,14.5
FL,12650762,1294357,229910,1.8,17.8
GA,6523882,718796,122542,1.9,17.0
HI,799955,70655,14285,1.8,20.2
ID,1101447,129963,30151,2.7,23.2
IL,7656211,738699,130549,1.7,17.7
IN,4040935,475999,94795,2.3,19.9
IA,1869239,200714,42307,2.3,21.1
KS,1708944,201587,45597,2.7,22.6
KY,2667773,425527,85492,3.2,20.1
LA,2691546,382524,73199,2.7,19.1
ME,820320,111109,18610,2.3,16.7
MD,3719336,347449,58476,1.6,16.8
MA,4372338,390447,62778,1.4,16.1
MI,6019197,717556,129355,2.1,18.0
MN,3412003,346254,67374,2.0,19.5
MS,1710146,283513,50519,3.0,17.8
MO,3633420,455483,83902,2.3,18.4
MT,640406,75444,17665,2.8,23.4
NE,1142006,127695,30618,2.7,24.0
NV,1893865,203594,39244,2.1,19.3
NH,857109,86205,17348,2.0,20.1
NJ,5619012,442236,69444,1.2,15.7
NM,1219898,172088,35694,2.9,20.7
NY,12120543,1137516,180387,1.5,15.9
NC,6283820,721213,135362,2.2,18.8
ND,455217,47057,13864,3.0,29.5
OH,6974199,844365,150061,2.2,17.8
OK,2318154,355773,75961,3.3,21.4
OR,2570404,337722,65423,2.5,19.4
PA,7710708,862692,147567,1.9,17.1
RI,680041,79542,11732,1.7,14.7
SC,3043107,371131,63240,2.1,17.0
SD,508255,54749,13941,2.7,25.5
TN,4177948,536506,109517,2.6,20.4
TX,17793672,1812286,361517,2.0,19.9
UT,1984157,194928,40281,2.0,20.7
VT,392267,44065,8133,2.1,18.5
VA,5154871,525816,107319,2.1,20.4
WA,4714918,515893,102560,2.2,19.9
WV,1034208,171095,33291,3.2,19.5
WI,3527273,361742,73772,2.1,20.4
WY,337537,37772,9100,2.7,24.1

Table 1.17 Civilians Ages 65 Years and Over Living in the Community for the United States and States - Hearing Disability: 2021
State,Total,Disability,"Hearing: Count","Hearing: Total (%) [1]","Hearing: Disability (%) [2]"
US,54758950,17813109,7247758,13.2,40.7
AL,865451,328467,123653,14.3,37.6
AK,95794,32417,16858,17.6,52.0
AZ,1324257,423973,192287,14.5,45.4
AR,511722,199503,87725,17.1,44.0
CA,5876122,1913960,727600,12.4,38.0
CO,867087,261895,129262,14.9,49.4
CT,631656,183329,70394,11.1,38.4
DE,195590,54495,24257,12.4,44.5
DC,83633,27921,6496,7.8,23.3
FL,4536981,1414691,560199,12.3,39.6
GA,1558733,532212,209538,13.4,39.4
HI,278654,88318,35286,12.7,40.0
ID,310898,110698,56450,18.2,51.0
IL,2047584,639279,239691,11.7,37.5
IN,1084410,365771,151932,14.0,41.5
IA,548303,165428,77805,14.2,47.0
KS,471950,152553,67763,14.4,44.4
KY,750076,295880,122956,16.4,41.6
LA,750335,283422,113876,15.2,40.2
ME,290913,87448,43623,15.0,49.9
MD,982784,281099,102601,10.4,36.5
MA,1183676,355778,143217,12.1,40.3
MI,1789023,574341,229194,12.8,39.9
MN,937168,272385,120425,12.8,44.2
MS,486107,194987,71349,14.7,36.6
MO,1052399,364243,154464,14.7,42.4
MT,213110,72028,37441,17.6,52.0
NE,313624,97221,41688,13.3,42.9
NV,514627,171479,72762,14.1,42.4
NH,260114,68373,31584,12.1,46.2
NJ,1528005,450519,163584,10.7,36.3
NM,386042,141497,65994,17.1,46.6
NY,3385616,1052081,355388,10.5,33.8
NC,1765560,585152,241776,13.7,41.3
ND,118388,36737,17116,14.5,46.6
OH,2042055,670750,277914,13.6,41.4
OK,630816,260662,118420,18.8,45.4
OR,780173,254265,116970,15.0,46.0
PA,2391105,745969,301631,12.6,40.4
RI,192634,57788,21796,11.3,37.7
SC,951932,307193,115596,12.1,37.6
SD,151042,49442,21767,14.4,44.0
TN,1164189,414972,177385,15.2,42.7
TX,3831538,1344250,548920,14.3,40.8
UT,383877,113605,58050,15.1,51.1
VT,129730,36838,18118,14.0,49.2
VA,1383071,423312,170379,12.3,40.2
WA,1233415,406446,187176,15.2,46.1
WV,362653,136900,64059,17.7,46.8
WI,1032131,277536,125647,12.2,45.3
WY,102197,33601,17696,17.3,52.7

Table 1.18 Civilians Ages Under 5 Years Living in the Community for the United States and States - Vision Disability: 2021
State,Total,Disability,"Vision: Count","Vision: Total (%) [1]","Vision: Disability (%) [2]"
US,18581718,126829,68709,0.4,54.2
AL,288139,1720,1195,0.4,69.5
AK,42080,54,54,0.1,100.0
AZ,402303,5043,3893,1.0,77.2
AR,178462,3725,1629,0.9,43.7
CA,2205235,12908,5576,0.3,43.2
CO,303354,1822,1074,0.4,58.9
CT,175998,649,330,0.2,50.8
DE,52332,296,296,0.6,100.0
DC,40613,175,95,0.2,54.3
FL,1089663,5747,3141,0.3,54.7
GA,623917,4348,1943,0.3,44.7
HI,81278,380,321,0.4,84.5
ID,113002,722,97,0.1,13.4
IL,699597,3516,1222,0.2,34.8
IN,405012,1269,507,0.1,40.0
IA,186397,2195,760,0.4,34.6
KS,176876,1257,788,0.4,62.7
KY,260130,2619,1806,0.7,69.0
LA,281838,1160,691,0.2,59.6
ME,60080,45,*,*,*
MD,348364,1862,1017,0.3,54.6
MA,347915,2455,1853,0.5,75.5
MI,547056,3914,1846,0.3,47.2
MN,327515,2308,431,0.1,18.7
MS,173503,816,343,0.2,42.0
MO,349339,3446,1878,0.5,54.5
MT,56147,87,*,*,*
NE,121543,1091,377,0.3,34.6
NV,175881,2344,1552,0.9,66.2
NH,61559,629,248,0.4,39.4
NJ,513212,2256,1163,0.2,51.6
NM,114698,911,483,0.4,53.0
NY,1088610,7491,3697,0.3,49.4
NC,578083,5688,2988,0.5,52.5
ND,50589,705,639,1.3,90.6
OH,668327,3573,1234,0.2,34.5
OK,236766,2347,1077,0.5,45.9
OR,205686,659,511,0.2,77.5
PA,681227,2785,2066,0.3,74.2
RI,53287,487,312,0.6,64.1
SC,274864,3082,2505,0.9,81.3
SD,55917,675,675,1.2,100.0
TN,395654,2821,1145,0.3,40.6
TX,1885672,13637,7472,0.4,54.8
UT,233401,2736,2598,1.1,95.0
VT,27009,198,198,0.7,100.0
VA,478808,2658,1626,0.3,61.2
WA,430818,2126,1324,0.3,62.3
WV,88479,671,346,0.4,51.6
WI,314453,1796,1480,0.5,82.4
WY,31030,925,207,0.7,22.4

Table 1.19 Civilians Ages 5 to 17 Years Living in the Community for the United States and States - Vision Disability: 2021
State,Total,Disability,"Vision: Count","Vision: Total (%) [1]","Vision: Disability (%) [2]"
US,54699705,3286897,526000,1.0,16.0
AL,828863,48618,7025,0.8,14.4
AK,137454,9277,1177,0.9,12.7
AZ,1209334,79148,11020,0.9,13.9
AR,523043,44085,7262,1.4,16.5
CA,6542461,320951,54697,0.8,17.0
CO,936515,45160,7439,0.8,16.5
CT,548906,32433,5266,1.0,16.2
DE,156006,11644,2936,1.9,25.2
DC,84945,4219,728,0.9,17.3
FL,3189500,196340,30946,1.0,15.8
GA,1895765,117778,20861,1.1,17.7
HI,223072,8810,291,0.1,3.3
ID,354395,21732,2499,0.7,11.5
IL,2093224,110256,17677,0.8,16.0
IN,1178604,76293,10882,0.9,14.3
IA,545142,28842,4045,0.7,14.0
KS,522424,30653,3635,0.7,11.9
KY,750106,59673,12326,1.6,20.7
LA,795160,57112,12282,1.5,21.5
ME,186869,11830,474,0.3,4.0
MD,1010506,56937,7395,0.7,13.0
MA,1011759,59794,10374,1.0,17.3
MI,1595775,98493,13540,0.8,13.7
MN,975835,58515,6689,0.7,11.4
MS,515882,43526,12314,2.4,28.3
MO,1027688,60381,8636,0.8,14.3
MT,177584,11187,1058,0.6,9.5
NE,358512,23577,3665,1.0,15.5
NV,520481,24749,5077,1.0,20.5
NH,194641,10830,760,0.4,7.0
NJ,1503125,67703,11315,0.8,16.7
NM,356854,22061,3147,0.9,14.3
NY,3004480,162754,21467,0.7,13.2
NC,1718757,101580,14157,0.8,13.9
ND,130287,7971,1870,1.4,23.5
OH,1928771,140458,15036,0.8,10.7
OK,717529,57017,13324,1.9,23.4
OR,649930,45033,5107,0.8,11.3
PA,1984207,152828,19460,1.0,12.7
RI,154906,12795,1356,0.9,10.6
SC,837548,49407,10150,1.2,20.5
SD,161911,6670,702,0.4,10.5
TN,1136830,75925,14447,1.3,19.0
TX,5561641,347998,74084,1.3,21.3
UT,708045,34221,3889,0.5,11.4
VT,89553,4868,555,0.6,11.4
VA,1399025,88649,14109,1.0,15.9
WA,1240960,72468,9944,0.8,13.7
WV,270235,19861,2415,0.9,12.2
WI,955174,48950,5209,0.5,10.6
WY,99486,4837,1281,1.3,26.5

Table 1.20 Civilians Ages 18 to 64 Years Living in the Community for the United States and States - Vision Disability: 2021
State,Total,Disability,"Vision: Count","Vision: Total (%) [1]","Vision: Disability (%) [2]"
US,198902405,21375164,4198571,2.1,19.6
AL,2974375,427044,85135,2.9,19.9
AK,428284,57446,9079,2.1,15.8
AZ,4239636,462266,91441,2.2,19.8
AR,1762321,270410,55297,3.1,20.4
CA,24101833,2094680,440277,1.8,21.0
CO,3608395,334153,66208,1.8,19.8
CT,2202103,210733,40603,1.8,19.3
DE,583878,63108,13099,2.2,20.8
DC,450531,45567,9703,2.2,21.3
FL,12650762,1294357,259705,2.1,20.1
GA,6523882,718796,149327,2.3,20.8
HI,799955,70655,12019,1.5,17.0
ID,1101447,129963,28388,2.6,21.8
IL,7656211,738699,136998,1.8,18.5
IN,4040935,475999,88865,2.2,18.7
IA,1869239,200714,33909,1.8,16.9
KS,1708944,201587,34818,2.0,17.3
KY,2667773,425527,89154,3.3,21.0
LA,2691546,382524,96632,3.6,25.3
ME,820320,111109,14298,1.7,12.9
MD,3719336,347449,63400,1.7,18.2
MA,4372338,390447,64727,1.5,16.6
MI,6019197,717556,113662,1.9,15.8
MN,3412003,346254,46518,1.4,13.4
MS,1710146,283513,70633,4.1,24.9
MO,3633420,455483,89950,2.5,19.7
MT,640406,75444,13291,2.1,17.6
NE,1142006,127695,26430,2.3,20.7
NV,1893865,203594,45283,2.4,22.2
NH,857109,86205,14175,1.7,16.4
NJ,5619012,442236,93308,1.7,21.1
NM,1219898,172088,32792,2.7,19.1
NY,12120543,1137516,206577,1.7,18.2
NC,6283820,721213,143324,2.3,19.9
ND,455217,47057,11957,2.6,25.4
OH,6974199,844365,151355,2.2,17.9
OK,2318154,355773,86238,3.7,24.2
OR,2570404,337722,55212,2.1,16.3
PA,7710708,862692,160422,2.1,18.6
RI,680041,79542,14398,2.1,18.1
SC,3043107,371131,70780,2.3,19.1
SD,508255,54749,9761,1.9,17.8
TN,4177948,536506,116871,2.8,21.8
TX,17793672,1812286,419128,2.4,23.1
UT,1984157,194928,33735,1.7,17.3
VT,392267,44065,5703,1.5,12.9
VA,5154871,525816,99562,1.9,18.9
WA,4714918,515893,85945,1.8,16.7
WV,1034208,171095,30818,3.0,18.0
WI,3527273,361742,59657,1.7,16.5
WY,337537,37772,8004,2.4,21.2

Table 1.21 Civilians Ages 65 Years and Over Living in the Community for the United States and States - Vision Disability: 2021
State,Total,Disability,"Vision: Count","Vision: Total (%) [1]","Vision: Disability (%) [2]"
US,54758950,17813109,3292867,6.0,18.5
AL,865451,328467,59548,6.9,18.1
AK,95794,32417,7023,7.3,21.7
AZ,1324257,423973,73679,5.6,17.4
AR,511722,199503,42163,8.2,21.1
CA,5876122,1913960,351370,6.0,18.4
CO,867087,261895,48063,5.5,18.4
CT,631656,183329,32623,5.2,17.8
DE,195590,54495,9802,5.0,18.0
DC,83633,27921,3286,3.9,11.8
FL,4536981,1414691,266512,5.9,18.8
GA,1558733,532212,106291,6.8,20.0
HI,278654,88318,13626,4.9,15.4
ID,310898,110698,20294,6.5,18.3
IL,2047584,639279,110172,5.4,17.2
IN,1084410,365771,67036,6.2,18.3
IA,548303,165428,23295,4.2,14.1
KS,471950,152553,27387,5.8,18.0
KY,750076,295880,61270,8.2,20.7
LA,750335,283422,59648,7.9,21.0
ME,290913,87448,13045,4.5,14.9
MD,982784,281099,46487,4.7,16.5
MA,1183676,355778,63418,5.4,17.8
MI,1789023,574341,93032,5.2,16.2
MN,937168,272385,40908,4.4,15.0
MS,486107,194987,42576,8.8,21.8
MO,1052399,364243,63782,6.1,17.5
MT,213110,72028,13164,6.2,18.3
NE,313624,97221,17069,5.4,17.6
NV,514627,171479,36005,7.0,21.0
NH,260114,68373,12245,4.7,17.9
NJ,1528005,450519,81760,5.4,18.1
NM,386042,141497,29178,7.6,20.6
NY,3385616,1052081,180381,5.3,17.1
NC,1765560,585152,111896,6.3,19.1
ND,118388,36737,6715,5.7,18.3
OH,2042055,670750,120650,5.9,18.0
OK,630816,260662,54196,8.6,20.8
OR,780173,254265,44977,5.8,17.7
PA,2391105,745969,133495,5.6,17.9
RI,192634,57788,9816,5.1,17.0
SC,951932,307193,62461,6.6,20.3
SD,151042,49442,7082,4.7,14.3
TN,1164189,414972,80912,7.0,19.5
TX,3831538,1344250,289383,7.6,21.5
UT,383877,113605,21029,5.5,18.5
VT,129730,36838,6765,5.2,18.4
VA,1383071,423312,85312,6.2,20.2
WA,1233415,406446,68290,5.5,16.8
WV,362653,136900,25830,7.1,18.9
WI,1032131,277536,41811,4.1,15.1
WY,102197,33601,6109,6.0,18.2

Table 1.22 Civilians Ages 5 to 17 Years Living in the Community for the United States and States - Cognitive Disability: 2021
