Table 1.1 Resident Population - States: 2018 to 2021
Geography,2018,2019,2020,2021
SD,877125,111536,36846,4.2,33.0
TN,6874621,1030224,296498,4.3,28.8
TX,29072523,3518171,953033,3.3,27.1
UT,3309480,345490,102867,3.1,29.8
VT,638559,85969,27757,4.3,32.3
VA,8415775,1040435,287261,3.4,27.6
WA,7620111,996933,298587,3.9,30.0
WV,1755575,328527,100380,5.7,30.6
WI,5829031,690024,207540,3.6,30.1
WY,570250,77135,28855,5.1,37.4

Table 1.5 Civilians Living in the Community for the United States and States - Vision Disability: 2021
State,Total,Disability,"Vision: Count","Vision: % Total","Vision: % Disability"
US,326942778,42601999,8086147,2.5,19.0
AL,4956828,805849,152903,3.1,19.0
AK,703612,99194,17333,2.5,17.5
AZ,7175530,970430,180033,2.5,18.6
AR,2975548,517723,106351,3.6,20.5
CA,38725651,4342499,851920,2.2,19.6
CO,5715351,643030,122784,2.1,19.1
CT,3558663,427144,78822,2.2,18.5
DE,987806,129543,26133,2.6,20.2
DC,659722,77882,13812,2.1,17.7
FL,21466906,2911135,560304,2.6,19.2
GA,10602297,1373134,278422,2.6,20.3
HI,1382959,168163,26257,1.9,15.6
ID,1879742,263115,51278,2.7,19.5
IL,12496616,1491750,266069,2.1,17.8
IN,6708961,919332,167290,2.5,18.2
IA,3149081,397179,62009,2.0,15.6
KS,2880194,386050,66628,2.3,17.3
KY,4428085,783699,164556,3.7,21.0
LA,4518879,724218,169253,3.7,23.4
ME,1358182,210432,27817,2.0,13.2
MD,6060990,687347,118299,2.0,17.2
MA,6915688,808474,140372,2.0,17.4
MI,9951051,1394304,222080,2.2,15.9
MN,5652521,679462,94546,1.7,13.9
MS,2885638,522842,125866,4.4,24.1
MO,6062846,883553,164246,2.7,18.6
MT,1087247,158746,27513,2.5,17.3
NE,1935685,249584,47541,2.5,19.0
NV,3104854,402166,87917,2.8,21.9
NH,1373423,166037,27428,2.0,16.5
NJ,9163354,962714,187546,2.0,19.5
NM,2077492,336557,65600,3.2,19.5
NY,19599249,2359842,412122,2.1,17.5
NC,10346220,1413633,272365,2.6,19.3
ND,754481,92470,21181,2.8,22.9
OH,11613352,1659146,288275,2.5,17.4
OK,3903265,675799,154835,4.0,22.9
OR,4206193,637679,105807,2.5,16.6
PA,12767247,1764274,315443,2.5,17.9
RI,1080868,150612,25882,2.4,17.2
SC,5107451,730813,145896,2.9,20.0
SD,877125,111536,18220,2.1,16.3
TN,6874621,1030224,213375,3.1,20.7
TX,29072523,3518171,790067,2.7,22.5
UT,3309480,345490,61251,1.9,17.7
VT,638559,85969,13221,2.1,15.4
VA,8415775,1040435,200609,2.4,19.3
WA,7620111,996933,165503,2.2,16.6
WV,1755575,328527,59409,3.4,18.1
WI,5829031,690024,108157,1.9,15.7
WY,570250,77135,15601,2.7,20.2

Table 1.6 Civilians Living in the Community for the United States and States - Cognitive Disability: 2021
State,Total,Disability,"Cognitive: Count","Cognitive: % Total","Cognitive: % Disability"
US,326942778,42601999,16599667,5.1,39.0
AL,4956828,805849,303033,6.1,37.6
AK,703612,99194,39606,5.6,39.9
AZ,7175530,970430,369923,5.2,38.1
AR,2975548,517723,206428,6.9,39.9
CA,38725651,4342499,1712140,4.4,39.4
CO,5715351,643030,254558,4.5,39.6
CT,3558663,427144,166693,4.7,39.0
DE,987806,129543,46976,4.8,36.3
DC,659722,77882,30292,4.6,38.9
FL,21466906,2911135,1076234,5.0,37.0
GA,10602297,1373134,546355,5.2,39.8
HI,1382959,168163,66027,4.8,39.3
ID,1879742,263115,106890,5.7,40.6
IL,12496616,1491750,549698,4.4,36.8
IN,6708961,919332,353085,5.3,38.4
IA,3149081,397179,149823,4.8,37.7
KS,2880194,386050,158696,5.5,41.1
KY,4428085,783699,310223,7.0,39.6
LA,4518879,724218,287217,6.4,39.7
ME,1358182,210432,89492,6.6,42.5
MD,6060990,687347,258281,4.3,37.6
MA,6915688,808474,330417,4.8,40.9
MI,9951051,1394304,559323,5.6,40.1
MN,5652521,679462,297295,5.3,43.8
MS,2885638,522842,206183,7.1,39.4
MO,6062846,883553,343318,5.7,38.9
MT,1087247,158746,59594,5.5,37.5
NE,1935685,249584,93400,4.8,37.4
NV,3104854,402166,147340,4.7,36.6
NH,1373423,166037,65789,4.8,39.6
NJ,9163354,962714,339110,3.7,35.2
NM,2077492,336557,131267,6.3,39.0
NY,19599249,2359842,915086,4.7,38.8
NC,10346220,1413633,542557,5.2,38.4
ND,754481,92470,29973,4.0,32.4
OH,11613352,1659146,674455,5.8,40.7
OK,3903265,675799,251841,6.5,37.3
OR,4206193,637679,278753,6.6,43.7
PA,12767247,1764274,706857,5.5,40.1
RI,1080868,150612,62031,5.7,41.2
SC,5107451,730813,265152,5.2,36.3
SD,877125,111536,39187,4.5,35.1
TN,6874621,1030224,406639,5.9,39.5
TX,29072523,3518171,1344974,4.6,38.2
UT,3309480,345490,155866,4.7,45.1
VT,638559,85969,34335,5.4,39.9
VA,8415775,1040435,393213,4.7,37.8
WA,7620111,996933,419649,5.5,42.1
WV,1755575,328527,128927,7.3,39.2
WI,5829031,690024,269201,4.6,39.0
WY,570250,77135,26265,4.6,34.1

Table 1.7 Civilians Living in the Community for the United States and States - Ambulatory Disability: 2021
State,Total,Disability,"Ambulatory: Count","Ambulatory: % Total","Ambulatory: % Disability"
US,326942778,42601999,20448062,6.3,48.0
AL,4956828,805849,433949,8.8,53.8
AK,703612,99194,37497,5.3,37.8
AZ,7175530,970430,453010,6.3,46.7
AR,2975548,517723,259230,8.7,50.1
CA,38725651,4342499,2099892,5.4,48.4
CO,5715351,643030,261633,4.6,40.7
CT,3558663,427144,197903,5.6,46.3
DE,987806,129543,63757,6.5,49.2
DC,659722,77882,41130,6.2,52.8
FL,21466906,2911135,1481110,6.9,50.9
GA,10602297,1373134,674615,6.4,49.1
HI,1382959,168163,83894,6.1,49.9
ID,1879742,263115,109517,5.8,41.6
IL,12496616,1491750,739147,5.9,49.5
IN,6708961,919332,441531,6.6,48.0
IA,3149081,397179,175521,5.6,44.2
KS,2880194,386050,171378,6.0,44.4
KY,4428085,783699,404136,9.1,51.6
LA,4518879,724218,358951,7.9,49.6
ME,1358182,210432,92603,6.8,44.0
MD,6060990,687347,328989,5.4,47.9
MA,6915688,808474,362258,5.2,44.8
MI,9951051,1394304,672683,6.8,48.2
MN,5652521,679462,260132,4.6,38.3
MS,2885638,522842,277244,9.6,53.0
MO,6062846,883553,423878,7.0,48.0
MT,1087247,158746,69887,6.4,44.0
NE,1935685,249584,109030,5.6,43.7
NV,3104854,402166,202209,6.5,50.3
NH,1373423,166037,66978,4.9,40.3
NJ,9163354,962714,480831,5.2,49.9
NM,2077492,336557,162446,7.8,48.3
NY,19599249,2359842,1202021,6.1,50.9
NC,10346220,1413633,706606,6.8,50.0
ND,754481,92470,37402,5.0,40.4
OH,11613352,1659146,784960,6.8,47.3
OK,3903265,675799,328345,8.4,48.6
OR,4206193,637679,278294,6.6,43.6
PA,12767247,1764274,832427,6.5,47.2
RI,1080868,150612,66451,6.1,44.1
SC,5107451,730813,371492,7.3,50.8
SD,877125,111536,49754,5.7,44.6
TN,6874621,1030224,521845,7.6,50.7
TX,29072523,3518171,1668948,5.7,47.4
UT,3309480,345490,130302,3.9,37.7
VT,638559,85969,35880,5.6,41.7
VA,8415775,1040435,500099,5.9,48.1
WA,7620111,996933,433107,5.7,43.4
WV,1755575,328527,172888,9.8,52.6
WI,5829031,690024,297736,5.1,43.1
WY,570250,77135,32536,5.7,42.2

Table 1.8 Civilians Living in the Community for the United States and States - Self-Care Disability: 2021
State,Total,Disability,"Self-Care: Count","Self-Care: % Total","Self-Care: % Disability"
US,326942778,42601999,7834854,2.4,18.4
AL,4956828,805849,136419,2.8,16.9
AK,703612,99194,13508,1.9,13.6
AZ,7175530,970430,161027,2.2,16.6
AR,2975548,517723,94650,3.2,18.3
CA,38725651,4342499,972305,2.5,22.4
CO,5715351,643030,94972,1.7,14.8
CT,3558663,427144,80190,2.3,18.8
DE,987806,129543,25609,2.6,19.8
DC,659722,77882,13354,2.0,17.1
FL,21466906,2911135,544644,2.5,18.7
GA,10602297,1373134,245530,2.3,17.9
HI,1382959,168163,33317,2.4,19.8
ID,1879742,263115,44922,2.4,17.1
IL,12496616,1491750,280612,2.2,18.8
IN,6708961,919332,156480,2.3,17.0
IA,3149081,397179,62640,2.0,15.8
KS,2880194,386050,62610,2.2,16.2
KY,4428085,783699,148686,3.4,19.0
LA,4518879,724218,139532,3.1,19.3
ME,1358182,210432,31491,2.3,15.0
MD,6060990,687347,117631,1.9,17.1
MA,6915688,808474,153052,2.2,18.9
MI,9951051,1394304,246506,2.5,17.7
MN,5652521,679462,117460,2.1,17.3
MS,2885638,522842,92448,3.2,17.7
MO,6062846,883553,149152,2.5,16.9
MT,1087247,158746,24736,2.3,15.6
NE,1935685,249584,36902,1.9,14.8
NV,3104854,402166,75975,2.4,18.9
NH,1373423,166037,24079,1.8,14.5
NJ,9163354,962714,199915,2.2,20.8
NM,2077492,336557,64872,3.1,19.3
NY,19599249,2359842,504153,2.6,21.4
NC,10346220,1413633,253636,2.5,17.9
ND,754481,92470,11369,1.5,12.3
OH,11613352,1659146,278148,2.4,16.8
OK,3903265,675799,101921,2.6,15.1
OR,4206193,637679,117549,2.8,18.4
PA,12767247,1764274,299947,2.3,17.0
RI,1080868,150612,26742,2.5,17.8
SC,5107451,730813,136974,2.7,18.7
SD,877125,111536,16426,1.9,14.7
TN,6874621,1030224,184867,2.7,17.9
TX,29072523,3518171,633740,2.2,18.0
UT,3309480,345490,47294,1.4,13.7
VT,638559,85969,13723,2.1,16.0
VA,8415775,1040435,197955,2.4,19.0
WA,7620111,996933,167576,2.2,16.8
WV,1755575,328527,67876,3.9,20.7
WI,5829031,690024,119704,2.1,17.3
WY,570250,77135,10028,1.8,13.0

Table 1.9 Civilians Living in the Community for the United States and States - Independent Living Disability: 2021
State,Total,Disability,"Independent Living: Count","Independent Living: % Total","Independent Living: % Disability"
US,326942778,42601999,15145689,4.6,35.6
AL,4956828,805849,282975,5.7,35.1
AK,703612,99194,28946,4.1,29.2
AZ,7175530,970430,314644,4.4,32.4
AR,2975548,517723,181562,6.1,35.1
CA,38725651,4342499,1748365,4.5,40.3
CO,5715351,643030,203871,3.6,31.7
CT,3558663,427144,157234,4.4,36.8
DE,987806,129543,44988,4.6,34.7
DC,659722,77882,23100,3.5,29.7
FL,21466906,2911135,1011720,4.7,34.8
GA,10602297,1373134,478422,4.5,34.8
HI,1382959,168163,67642,4.9,40.2
ID,1879742,263115,80613,4.3,30.6
IL,12496616,1491750,552951,4.4,37.1
IN,6708961,919332,313845,4.7,34.1
IA,3149081,397179,132829,4.2,33.4
KS,2880194,386050,132766,4.6,34.4
KY,4428085,783699,286201,6.5,36.5
LA,4518879,724218,248856,5.5,34.4
ME,1358182,210432,79961,5.9,38.0
MD,6060990,687347,235056,3.9,34.2
MA,6915688,808474,301867,4.4,37.3
MI,9951051,1394304,515106,5.2,36.9
MN,5652521,679462,241184,4.3,35.5
MS,2885638,522842,180910,6.3,34.6
MO,6062846,883553,298329,4.9,33.8
MT,1087247,158746,49421,4.5,31.1
NE,1935685,249584,73463,3.8,29.4
NV,3104854,402166,134078,4.3,33.3
NH,1373423,166037,57260,4.2,34.5
NJ,9163354,962714,370795,4.0,38.5
NM,2077492,336557,122127,5.9,36.3
NY,19599249,2359842,974518,5.0,41.3
NC,10346220,1413633,483601,4.7,34.2
ND,754481,92470,22289,3.0,24.1
OH,11613352,1659146,556566,4.8,33.5
OK,3903265,675799,219042,5.6,32.4
OR,4206193,637679,230735,5.5,36.2
PA,12767247,1764274,631164,4.9,35.8
RI,1080868,150612,55598,5.1,36.9
SC,5107451,730813,251665,4.9,34.4
SD,877125,111536,30477,3.5,27.3
TN,6874621,1030224,360872,5.2,35.0
TX,29072523,3518171,1158453,4.0,32.9
UT,3309480,345490,110445,3.3,32.0
VT,638559,85969,30712,4.8,35.7
VA,8415775,1040435,358026,4.3,34.4
WA,7620111,996933,344150,4.5,34.5
WV,1755575,328527,119054,6.8,36.2
WI,5829031,690024,233597,4.0,33.9
WY,570250,77135,23638,4.1,30.6

Table 2.1 Functioning - Civilians Ages 18-64 Years Living in the Community with Vision Disabilities who have either Self-Care Disabilities or Independent Living Disabilities for the United States and States: 2021
State,"Self-Care: Count","Self-Care: % [1]","Independent Living: Count","Independent Living: % [2]"
US,635710,15.1,1140247,27.1
AL,12838,15.0,25151,29.5
AK,1865,20.5,2432,26.7
AZ,11122,12.1,21547,23.5
AR,10503,18.9,20950,37.8
CA,71848,16.3,122363,27.7
CO,9620,14.5,18237,27.5
CT,6675,16.4,10911,26.8
DE,2322,17.7,4419,33.7
DC,*,*,*,*
FL,37912,14.5,69559,26.7
GA,22270,14.9,41644,27.8
HI,2242,18.6,4080,33.9
ID,*,*,*,*
IL,23184,16.9,36720,26.8
IN,12961,14.5,24679,27.7
IA,5811,17.1,10029,29.5
KS,4312,12.3,11005,31.6
KY,13392,15.0,22761,25.5
LA,14638,15.1,26362,27.2
ME,3136,21.9,5393,37.7
MD,5998,9.4,13462,21.2
MA,8944,13.8,15905,24.5
MI,19756,17.3,34122,30.0
MN,8346,17.9,16002,34.3
MS,10427,14.7,18459,26.1
MO,14245,15.8,25587,28.4
MT,2072,15.5,3364,25.3
NE,3559,13.4,4987,18.8
NV,7953,17.5,11178,24.6
NH,1770,12.4,3684,25.9
NJ,12929,13.8,20968,22.4
NM,5213,15.8,8859,27.0
NY,35819,17.3,59761,28.9
NC,23403,16.3,39850,27.8
ND,783,6.5,2079,17.3
OH,23268,15.3,43321,28.6
OK,10698,12.4,23157,26.8
OR,8658,15.6,14229,25.7
PA,24969,15.5,46764,29.1
RI,1402,9.7,3903,27.1
SC,9955,14.0,18008,25.4
SD,1846,18.9,2588,26.5
TN,18917,16.1,33984,29.0
TX,58916,14.0,99571,23.7
UT,4914,14.5,9597,28.4
VT,865,15.1,1438,25.2
VA,13806,13.8,29558,29.6
WA,9721,11.3,21024,24.4
WV,5177,16.7,9631,31.2
WI,9498,15.9,17306,29.0
WY,1218,15.2,2041,25.4

Table 2.2 Functioning - Civilians Ages 18-64 Years Living in the Community with Vision Disabilities who have Both or Only Self-Care Disabilities and Independent Living Disabilities for the United States and States: 2021
State,"Both Self-Care and Independent Living: Count","Both Self-Care and Independent Living: % [1]","Self-Care Only: Count","Self-Care Only: % [2]","Independent Living Only: Count","Independent Living Only: % [3]"
US,544350,12.9,91360,2.1,595897,14.1
AL,10276,12.0,2562,3.0,14875,17.4
AK,1590,17.5,275,3.0,842,9.2
AZ,9729,10.6,1393,1.5,11818,12.9
AR,8060,14.5,2443,4.4,12890,23.3
CA,65265,14.8,6583,1.4,57098,12.9
CO,8257,12.4,1363,2.0,9980,15.0
CT,5613,13.8,1062,2.6,5298,13.0
DE,2322,17.7,*,*,2097,16.0
DC,*,*,*,*,*,*
FL,31484,12.1,6428,2.4,38075,14.6
GA,18834,12.6,3436,2.3,22810,15.2
HI,2130,17.7,112,0.9,1950,16.2
ID,1726,6.0,675,2.3,3440,12.1
IL,20269,14.7,2915,2.1,16451,12.0
IN,10349,11.6,2612,2.9,14330,16.1
IA,5245,15.4,566,1.6,4784,14.1
KS,3064,8.8,1248,3.5,7941,22.8
KY,11361,12.7,2031,2.2,11400,12.7
LA,12852,13.2,1786,1.8,13510,13.9
ME,2544,17.7,592,4.1,2849,19.9
MD,4055,6.3,1943,3.0,9407,14.8
MA,7429,11.4,1515,2.3,8476,13.0
MI,16595,14.6,3161,2.7,17527,15.4
MN,7849,16.8,497,1.0,8153,17.5
MS,8440,11.9,1987,2.8,10019,14.1
MO,12701,14.1,1544,1.7,12886,14.3
MT,1271,9.5,801,6.0,2093,15.7
NE,3162,11.9,397,1.5,1825,6.9
NV,6728,14.8,1225,2.7,4450,9.8
NH,1654,11.6,116,0.8,2030,14.3
NJ,11009,11.7,1920,2.0,9959,10.6
NM,4973,15.1,240,0.7,3886,11.8
NY,32296,15.6,3523,1.7,27465,13.2
NC,19590,13.6,3813,2.6,20260,14.1
ND,783,6.5,*,*,1296,10.8
OH,19494,12.8,3774,2.4,23827,15.7
OK,9237,10.7,1461,1.6,13920,16.1
OR,6948,12.5,1710,3.0,7281,13.1
PA,21440,13.3,3529,2.1,25324,15.7
RI,1215,8.4,187,1.2,2688,18.6
SC,8077,11.4,1878,2.6,9931,14.0
SD,1537,15.7,309,3.1,1051,10.7
TN,15290,13.0,3627,3.1,18694,15.9
TX,50797,12.1,8119,1.9,48774,11.6
UT,4914,14.5,*,*,4683,13.8
VT,865,15.1,*,*,573,10.0
VA,12320,12.3,1486,1.4,17238,17.3
WA,7947,9.2,1774,2.0,13077,15.2
WV,3582,11.6,1595,5.1,6049,19.6
WI,8505,14.2,993,1.6,8801,14.7
WY,1133,14.1,85,1.0,908,11.3

Table 2.3 Functioning - Civilians Ages 18-64 Years Living in the Community with Hearing Disabilities who have either Self-Care Disabilities or Independent Living Disabilities for the United States and States: 2021
State,"Self-Care: Count","Self-Care: % [1]","Independent Living: Count","Independent Living: % [2]"
US,454504,11.4,760453,19.0
AL,9179,11.8,16595,21.3
AK,1286,7.9,1715,10.6
AZ,11136,12.0,17872,19.2
AR,6623,13.8,9411,19.6
CA,53905,14.7,81115,22.1
CO,7676,9.9,13336,17.2
CT,4144,10.7,7897,20.3
DE,2418,20.8,2639,22.8
DC,823,12.4,1026,15.5
FL,26883,11.6,45502,19.7
