state,total_pop,disability_category,race,gender,employed_count,disability_employed,no_disability_employed,employment_gap,poverty_count,disability_poverty,no_disability_poverty,poverty_gap
NJ,218281,All,All,Male,90709,41.6,81.2,39.6,70093,15.6,9.2,6.8
NM,82918,All,All,Male,28492,34.4,75.7,41.3,40388,24.9,17.1,7.9
NY,545500,All,All,Male,196730,36.1,76.6,40.5,244810,22.8,13.1,9.9
NC,356755,All,All,Male,147790,41.4,81.5,40.1,124311,18.3,13,5
ND,22656,All,All,Male,14405,63.6,85.9,22.3,6841,15.6,10,6
OH,403935,All,All,Male,167238,41.4,82.4,41,166712,21,11.9,9.1
OK,173634,All,All,Male,76564,44.1,80.8,36.7,69033,20.9,14.4,6.6
OR,166353,All,All,Male,71809,43.2,80.7,37.5,63926,20.2,11.5,8.5
PA,421285,All,All,Male,167945,39.9,81.5,41.6,170224,20.1,11,9
RI,36516,All,All,Male,14952,40.9,80.6,39.7,12230,17.5,11.6,5.4
SC,178818,All,All,Male,68947,38.6,80.6,42,68830,19.5,14.3,5.7
SD,29422,All,All,Male,15370,52.2,87.1,34.9,12471,21.4,11.9,9.1
TN,259852,All,All,Male,97393,37.5,82.9,45.4,102378,20.4,12.3,7.7
TX,896670,All,All,Male,430523,48,82.6,34.6,316340,18.3,13.2,4.8
UT,95329,All,All,Male,54783,57.5,88.8,31.3,24410,14.5,7.5,7.5
VT,25431,All,All,Male,10023,39.4,81.3,41.9,10436,23,10.5,12.5
VA,260601,All,All,Male,125134,48,83.9,35.9,80695,16.2,9.9,6.1
WA,254644,All,All,Male,110483,43.4,82.3,38.9,81692,16.8,9.2,7.8
WV,86655,All,All,Male,25995,30,74.9,44.9,34974,21.6,14.8,7.2
WI,182290,All,All,Male,89160,48.9,85.2,36.3,70356,20.4,10,10
WY,15931,All,All,Male,7986,50.1,86.3,36.2,5168,14.1,11,3
AL,219569,All,All,Female,66595,30.3,69.8,39.5,106066,25.1,17.7,7.3
AK,30383,All,All,Female,14294,47,70.9,23.9,10685,22.2,9.4,12.6
AZ,236055,All,All,Female,101536,43,69.9,26.9,95239,19.4,14.1,4.9
AR,140395,All,All,Female,49749,35.4,72.1,36.7,67951,25.9,17.8,8.2
CA,1040294,All,All,Female,399929,38.4,67.6,29.2,464741,20.5,13.5,7.5
CO,163205,All,All,Female,78740,48.2,75,26.8,53944,16.9,11,6
CT,104808,All,All,Female,43505,41.5,75.3,33.8,47306,21.6,11.2,10.8
DE,29828,All,All,Female,14642,49.1,73,23.9,11550,17.8,14.1,3.9
DC,24973,All,All,Female,9395,37.6,77.2,39.6,15833,35.9,19.7,16.3
FL,652697,All,All,Female,247470,37.9,71.4,33.5,317531,21.3,14.1,6.9
GA,377615,All,All,Female,141763,37.5,71.5,34,156174,21.6,15.7,6.3
HI,30165,All,All,Female,12556,41.6,71.8,30.2,13871,17.5,12,6
ID,65376,All,All,Female,28393,43.4,73.7,30.3,23896,18.8,12.2,6.8
IL,380551,All,All,Female,158001,41.5,73,31.5,168534,21.3,13,8
IN,246947,All,All,Female,95514,38.7,73.8,35.1,110226,23.1,13.6,9.4
IA,102044,All,All,Female,46518,45.6,79.5,33.9,50563,25.1,12.2,12.8
KS,99537,All,All,Female,40964,41.2,76.4,35.2,45140,23.3,13.2,9.8
KY,212814,All,All,Female,68236,32.1,71.8,39.7,122262,30.9,17.1,13.9
LA,195636,All,All,Female,63995,32.7,68.6,35.9,110284,29.1,20.9,8.1
ME,52434,All,All,Female,18430,35.1,77.2,42.1,26995,26.4,12.5,13.5
MD,190345,All,All,Female,86539,45.5,75.7,30.2,78204,20.9,10.9,10.1
MA,206175,All,All,Female,85258,41.4,75.9,34.5,105403,24.1,12.8,11.2
MI,372518,All,All,Female,130067,34.9,71.2,36.3,173864,24,14.1,9.9
MN,174690,All,All,Female,88944,50.9,80.9,30,71308,21.1,9.6,11.4
MS,149971,All,All,Female,48908,32.6,69.3,36.7,83356,30.4,20.7,9.3
MO,228321,All,All,Female,91300,40,75.5,35.5,107019,23.8,13.5,10.5
MT,34836,All,All,Female,14740,42.3,75,32.7,14871,20.3,12,8
NE,63848,All,All,Female,30667,48,81.6,33.6,26791,21.1,11.1,9.9
NV,102736,All,All,Female,41502,40.4,68.7,28.3,42036,21.4,14.7,6.3
NH,43466,All,All,Female,19463,44.8,77.4,32.6,14346,17.4,9.4,7.6
NJ,223955,All,All,Female,87267,39,72,33,100545,19.5,11.6,8.4
NM,89170,All,All,Female,31630,35.5,66.7,31.2,45895,26.3,19.4,6.6
NY,592016,All,All,Female,222504,37.6,71.1,33.5,326756,25.5,15.1,9.9
NC,364458,All,All,Female,129941,35.7,71.7,36,161165,22,15,7
ND,24401,All,All,Female,12916,52.9,80,27.1,11317,23.3,10.7,12.3
OH,440430,All,All,Female,166391,37.8,75,37.2,206416,23.9,14.7,9.3
OK,182139,All,All,Female,69526,38.2,71.9,33.7,79576,23,16.6,6.4
OR,171369,All,All,Female,71859,41.9,72.4,30.5,72099,22.5,12.7,9.3
PA,441407,All,All,Female,172299,39,74.5,35.5,220712,24,13.4,10.6
RI,43026,All,All,Female,18785,43.7,75.4,31.7,17972,22.3,14.9,7.1
SC,192313,All,All,Female,64012,33.3,70.3,37,88296,23.3,16.2,6.8
SD,25327,All,All,Female,12667,50,80,30,12886,24.2,14.1,9.9
TN,276654,All,All,Female,94047,34,71.4,37.4,130171,24.6,14.8,10.2
TX,915616,All,All,Female,402379,43.9,68.3,24.4,394000,22,15.7,6.3
UT,99599,All,All,Female,50382,50.6,71.4,20.8,34263,19.3,9.1,9.9
VT,18634,All,All,Female,6682,35.9,77.5,41.6,11215,27.6,12.7,15.3
VA,265215,All,All,Female,108374,40.9,74,33.1,110315,20.3,11.5,8.5
WA,261249,All,All,Female,105757,40.5,71.7,31.2,103488,20.3,10.8,9.2
WV,84440,All,All,Female,24819,29.4,67.8,38.4,49427,29.7,18,12
WI,179452,All,All,Female,78239,43.6,78.7,35.1,78778,22.8,11.8,11.2
WY,21841,All,All,Female,11717,53.6,74.2,20.6,8502,21,12.5,8.5
